Experimento,N,Presupuesto,HV (Mean),HV (Std),Spacing (Mean),Spacing (Std),"C(Alg, NSGA)","C(NSGA, Alg)"
BASELINE,100,4000,1.151591002589519,0.0830120060555815,0.062297844421177764,0.01441858673643155,0.9685142912033153,0.0
BASELINE,100,10000,1.3058309351840591,0.03322730552073362,0.03716575522959217,0.003092981278025733,0.9169999999999998,0.0
INFERIOR_SIG,100,4000,1.2551644172989094,0.024968371185872584,0.06607174410338966,0.01503790377880878,0.9946666666666667,0.0
INFERIOR_SIG,100,10000,1.3237916500223819,0.0008376861534755096,0.038826769642667416,0.0007437663351717688,0.9419999999999998,0.0
SUPERIOR_SIG,100,4000,1.0889604546857545,0.09768074669399437,0.0608167044502558,0.010688571860368578,0.9732481847607384,0.0
SUPERIOR_SIG,100,10000,1.3132578571750495,0.02490979056746722,0.03754327848922759,0.0011582079907833161,0.923,0.0
INFERIOR_PM,100,4000,1.1085387142065195,0.04800047331601167,0.0595677613171753,0.009930768668041033,0.9715153041239997,0.0
INFERIOR_PM,100,10000,1.2979011566636136,0.037683243993259244,0.036437693767661865,0.0035523655784533126,0.9129999999999999,0.0
SUPERIOR_PM,100,4000,1.1790408226652784,0.04913351562437663,0.057601783954046984,0.013427721284481163,0.970193605818223,0.0
SUPERIOR_PM,100,10000,1.2885856169923782,0.0404585506116446,0.03577585587682682,0.004363109953147911,0.8949999999999999,0.0
INFERIOR_CR,100,4000,1.0579474949734586,0.1054359789420542,0.07086206711922971,0.015472859072485908,0.8677288310865633,0.010989010989010988
INFERIOR_CR,100,10000,1.2825514557368196,0.07337615150415244,0.03801289753110384,0.0053022739562305805,0.882,0.0
SUPERIOR_CR,100,4000,0.9867074873576055,0.11549368448463028,0.06054191851296732,0.010282669895200679,0.8588526898818316,0.03974719101123596
SUPERIOR_CR,100,10000,1.289717050554636,0.03694350940551882,0.036894938513589486,0.0032291625714592205,0.8640000000000001,0.0
INFERIOR_F,100,4000,0.8532507459127133,0.14099893744860242,0.07418828345103859,0.013640999597594182,0.489014026734696,0.40900553689187513
INFERIOR_F,100,10000,1.289341957479239,0.034101702627664224,0.042423112820090335,0.008867821084977804,0.7899999999999999,0.055685439560439566
SUPERIOR_F,100,4000,1.2375463900282444,0.032304875371047675,0.050680868004497746,0.00905003434735062,0.9956728778467909,0.0
SUPERIOR_F,100,10000,1.294117966046949,0.03626312549012172,0.03890011846828491,0.005412351141703368,0.884,0.023
INFERIOR_T,100,4000,1.151591002589519,0.0830120060555815,0.062297844421177764,0.01441858673643155,0.9685142912033153,0.0
INFERIOR_T,100,10000,1.3058309351840591,0.03322730552073362,0.03716575522959217,0.003092981278025733,0.9169999999999998,0.0
SUPERIOR_T,100,4000,1.151591002589519,0.0830120060555815,0.062297844421177764,0.01441858673643155,0.9685142912033153,0.0
SUPERIOR_T,100,10000,1.3058309351840591,0.03322730552073362,0.03716575522959217,0.003092981278025733,0.9169999999999998,0.0
N40,40,4000,1.2003944443141186,0.07719665672933981,0.07320332215227796,0.018198277633998824,0.82,0.0
N40,40,10000,1.2537295392447212,0.0904799865200889,0.06623082744257014,0.011693327276314114,0.375,0.0
N80G50,80,4000,1.1616855605909508,0.09101537932615528,0.054372084455892346,0.008296865627511196,0.9472272026219395,0.0
N80G50,80,10000,1.2645062154727726,0.07162351057904125,0.039180483219848794,0.005324551791183355,,
N200G50,200,4000,0.614253087803325,0.10891560538072102,0.06291529428264873,0.008920612182733602,,
N200G50,200,10000,1.2875845167071809,0.039257256513218194,0.03066951638179537,0.00510691757370668,0.9781708324355384,0.0
